"BehaviorSpace results (NetLogo 5.0.5)"
"jeudi-Optimisation-presque-fini.nlogo"
"experiment"
"05/01/2014 15:48:43:399 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
,"2.4096385542168677","30.271084337349397","2.5301204819277108","31.355421686746986","69.63855421686746","39.21686746987952","3.2530120481927707","31.83734939759036","3.493975903614458","31.355421686746986","73.25301204819277","43.25301204819277","26.506024096385545","32.65060240963855","27.469879518072286","31.234939759036145","88.3132530120482","43.43373493975904","2.0481927710843375","32.7710843373494","2.5301204819277108","32.71084337349397","66.62650602409639","42.86144578313253","3.2530120481927707","31.44578313253012","3.0120481927710845","31.807228915662648","68.19277108433735","43.463855421686745","26.506024096385545","31.987951807228914","26.746987951807228","31.897590361445783","93.61445783132531","43.373493975903614","0","32.62048192771084","0.24096385542168677","32.59036144578313","37.34939759036144","34.4277108433735","0.6024096385542169","31.204819277108438","0.7228915662650602","30.512048192771086","31.32530120481928","34.48795180722892","24.096385542168676","31.807228915662648","24.337349397590362","32.37951807228915","55.3012048192771","35.24096385542169"
,"2.4096385542168677","31.807228915662648","2.5301204819277108","31.626506024096386","70.72289156626506","40.39156626506024","3.3734939759036147","30.993975903614455","3.734939759036145","33.01204819277108","75.5421686746988","44.90963855421687","26.506024096385545","32.65060240963855","27.469879518072286","33.58433734939759","89.51807228915662","44.39759036144578","2.4096385542168677","32.65060240963855","2.4096385542168677","31.897590361445783","66.86746987951807","42.07831325301205","3.0120481927710845","32.46987951807229","3.3734939759036147","32.80120481927711","69.51807228915663","43.584337349397586","26.506024096385545","31.295180722891562","26.867469879518076","30.753012048192772","94.81927710843372","44.51807228915662","0","32.01807228915662","0.24096385542168677","30.933734939759038","32.53012048192771","33.795180722891565","1.0843373493975903","32.37951807228915","2.0481927710843375","32.10843373493976","35.54216867469879","34.7289156626506","24.096385542168676","32.28915662650602","24.337349397590362","32.07831325301205","57.59036144578313","35.45180722891566"
,"2.4096385542168677","31.716867469879517","2.5301204819277108","30.150602409638555","72.28915662650603","39.72891566265061","3.493975903614458","33.04216867469879","3.132530120481928","32.28915662650602","77.83132530120483","46.98795180722892","26.506024096385545","31.83734939759036","27.469879518072286","31.716867469879517","90.96385542168674","45.51204819277108","2.4096385542168677","30.30120481927711","2.4096385542168677","31.355421686746986","66.26506024096386","43.10240963855422","3.132530120481928","31.53614457831325","4.216867469879518","32.46987951807229","71.80722891566265","45.39156626506024","26.506024096385545","32.71084337349397","26.746987951807228","32.37951807228915","95.18072289156626","44.81927710843374","0","33.16265060240964","0","31.506024096385545","37.83132530120482","35.30120481927711","0.48192771084337355","31.475903614457827","0.7228915662650602","31.53614457831325","35.06024096385542","35.06024096385542","24.096385542168676","31.716867469879517","24.337349397590362","31.506024096385545","65.5421686746988","34.27710843373494"
,"2.4096385542168677","31.114457831325304","2.6506024096385543","32.13855421686747","72.53012048192771","39.48795180722892","3.3734939759036147","31.144578313253014","3.975903614457831","33.554216867469876","78.79518072289157","47.86144578313253","26.506024096385545","32.31927710843374","27.469879518072286","31.686746987951807","92.16867469879519","46.445783132530124","2.4096385542168677","30.96385542168675","2.289156626506024","31.746987951807228","66.86746987951807","42.86144578313253","2.891566265060241","31.957831325301207","3.8554216867469884","32.53012048192771","73.855421686747","47.56024096385542","26.506024096385545","32.07831325301205","26.626506024096386","30.903614457831324","95.54216867469879","44.90963855421687","0","31.114457831325304","0","32.10843373493976","28.674698795180724","35.54216867469879","1.3253012048192772","32.25903614457831","1.0843373493975903","31.114457831325304","34.096385542168676","35.33132530120482","24.096385542168676","31.867469879518072","24.337349397590362","31.83734939759036","60.24096385542169","35.03012048192771"
,"2.4096385542168677","32.74096385542168","2.5301204819277108","31.92771084337349","72.65060240963855","40.03012048192771","3.2530120481927707","32.46987951807229","3.975903614457831","30.66265060240964","80.12048192771084","48.94578313253012","26.506024096385545","31.41566265060241","27.469879518072286","32.5","92.16867469879519","46.626506024096386","2.289156626506024","32.04819277108434","2.5301204819277108","32.53012048192771","67.10843373493975","43.07228915662651","3.0120481927710845","31.807228915662648","3.614457831325301","31.53614457831325","76.144578313253","47.59036144578313","26.385542168674696","32.43975903614458","26.867469879518076","32.37951807228915","96.14457831325302","45.873493975903614","0","31.204819277108438","0","32.68072289156627","28.19277108433735","34.397590361445786","0.7228915662650602","31.44578313253012","1.0843373493975903","31.746987951807228","35.78313253012048","36.265060240963855","24.096385542168676","30.843373493975907","24.337349397590362","31.05421686746988","68.79518072289157","33.554216867469876"
,"2.4096385542168677","32.01807228915662","2.5301204819277108","31.746987951807228","73.6144578313253","40.21084337349398","3.0120481927710845","31.656626506024093","3.493975903614458","33.3433734939759","79.75903614457832","49.60843373493976","26.506024096385545","31.746987951807228","27.469879518072286","32.01807228915662","93.13253012048193","47.28915662650602","1.9277108433734942","33.3433734939759","2.289156626506024","31.566265060240962","68.79518072289157","43.8855421686747","3.3734939759036147","32.04819277108434","3.3734939759036147","31.53614457831325","77.71084337349397","48.91566265060241","26.506024096385545","32.31927710843374","26.746987951807228","31.987951807228914","96.86746987951807","46.325301204819276","0","30.692771084337352","0.24096385542168677","32.98192771084337","36.74698795180723","32.25903614457831","1.2048192771084338","31.867469879518072","0.7228915662650602","31.656626506024093","38.31325301204819","35.903614457831324","24.096385542168676","31.867469879518072","24.337349397590362","31.53614457831325","64.81927710843374","34.84939759036145"
,"2.4096385542168677","31.716867469879517","2.5301204819277108","30.933734939759038","73.855421686747","40.75301204819277","3.975903614457831","32.28915662650602","3.3734939759036147","31.506024096385545","80.60240963855422","50.24096385542168","26.506024096385545","32.40963855421687","27.469879518072286","32.43975903614458","93.73493975903614","47.95180722891566","2.4096385542168677","33.855421686746986","2.5301204819277108","32.89156626506024","68.43373493975903","43.463855421686745","2.891566265060241","32.28915662650602","3.3734939759036147","32.43975903614458","78.79518072289157","50.18072289156626","26.506024096385545","32.56024096385542","26.746987951807228","33.0722891566265","97.46987951807229","46.566265060240966","0","31.114457831325304","0.24096385542168677","33.0722891566265","36.506024096385545","34.00602409638554","1.3253012048192772","32.7710843373494","0.8433734939759037","32.16867469879518","37.59036144578313","35.57228915662651","24.096385542168676","30.873493975903614","24.337349397590362","32.22891566265061","58.674698795180724","36.71686746987952"
,"2.4096385542168677","32.831325301204814","2.4096385542168677","30.873493975903614","73.49397590361446","41.807228915662655","2.891566265060241","31.596385542168676","3.734939759036145","32.04819277108434","82.04819277108435","49.6987951807229","26.506024096385545","32.46987951807229","27.469879518072286","31.506024096385545","94.4578313253012","48.554216867469876","2.1686746987951806","32.37951807228915","2.5301204819277108","32.04819277108434","69.87951807228916","43.493975903614455","2.891566265060241","31.53614457831325","3.2530120481927707","32.56024096385542","79.87951807228916","50.783132530120476","26.506024096385545","33.04216867469879","26.746987951807228","32.53012048192771","96.98795180722891","46.71686746987952","0","32.34939759036145","0","32.22891566265061","34.096385542168676","33.674698795180724","0.8433734939759037","32.10843373493976","0.7228915662650602","31.385542168674696","31.204819277108438","35.602409638554214","24.096385542168676","31.807228915662648","24.337349397590362","31.41566265060241","54.93975903614457","35.602409638554214"
,"2.4096385542168677","30.873493975903614","2.4096385542168677","31.807228915662648","70.72289156626506","40.42168674698795","3.8554216867469884","33.192771084337345","3.3734939759036147","33.433734939759034","82.53012048192771","50.421686746987945","26.506024096385545","31.716867469879517","27.469879518072286","31.475903614457827","95.06024096385542","48.31325301204819","2.4096385542168677","31.53614457831325","2.5301204819277108","32.13855421686747","70.72289156626506","44.21686746987952","2.7710843373493974","31.05421686746988","3.614457831325301","33.49397590361446","80.96385542168674","51.83734939759036","26.385542168674696","30.66265060240964","26.506024096385545","31.475903614457827","97.71084337349397","46.83734939759036","0","32.89156626506024","0.48192771084337355","31.475903614457827","40","35.03012048192771","0.8433734939759037","32.10843373493976","0.9638554216867471","31.475903614457827","33.13253012048193","35.06024096385542","24.096385542168676","32.59036144578313","24.337349397590362","31.626506024096386","61.32530120481928","34.87951807228916"
,"2.4096385542168677","31.626506024096386","2.4096385542168677","32.07831325301205","72.65060240963855","40.12048192771084","3.493975903614458","31.807228915662648","4.216867469879518","32.16867469879518","83.37349397590361","51.02409638554217","26.506024096385545","31.746987951807228","27.469879518072286","33.22289156626506","95.18072289156626","48.855421686746986","2.1686746987951806","31.44578313253012","2.5301204819277108","32.10843373493976","71.32530120481928","45.12048192771084","3.0120481927710845","31.44578313253012","4.096385542168675","32.62048192771084","81.92771084337349","52.07831325301204","26.506024096385545","31.41566265060241","26.867469879518076","32.89156626506024","97.83132530120481","47.19879518072289","0","33.13253012048193","0.12048192771084339","32.10843373493976","40.8433734939759","34.69879518072289","0.6024096385542169","32.37951807228915","0.8433734939759037","31.475903614457827","36.265060240963855","34.4578313253012","24.096385542168676","31.746987951807228","24.337349397590362","32.43975903614458","55.78313253012048","35.48192771084337"
